user,text,date,emotion,sentiment,clean_text,preprocessed_text,nuevosentimiento,adjetivos_positivo,verbos_positivo,sustantivos_positivo,adjetivos_neutro,verbos_neutro,sustantivos_neutro,adjetivos_negativo,verbos_negativo,sustantivos_negativo
@erreborda,termine bien abrumado después de hoy,"Jan 6, 2024 · 2:53 AM UTC",overwhelmed,scared,termine bien abrumado despus de hoy,termine bien abrumado despus,negativo,0,0,1,0,0,2,0,0,2
@shpiderduck,me siento abrumado,"Jan 6, 2024 · 2:35 AM UTC",overwhelmed,scared,me siento abrumado,siento abrumado,negativo,0,0,1,0,0,1,0,0,2
@Alex_R_art,"Me siento un poco abrumado por la cantidad de cosas que quiero dibujar, ver, jugar y leer. Odio esta sensación xdddd","Jan 6, 2024 · 12:20 AM UTC",overwhelmed,scared,Me siento un poco abrumado por la cantidad de cosas que quiero dibujar ver jugar y leer Odio esta sensacin xdddd,siento abrumado cantidad cosas quiero dibujar jugar leer odio sensacin xdddd,negativo,0,0,3,0,0,4,0,0,4
@anggelinaa97,Salvador la única persona que no la ha abrumado de versiones❤😒❤ #NadieComoTú,"Jan 5, 2024 · 10:38 PM UTC",overwhelmed,scared,Salvador la nica persona que no la ha abrumado de versiones NadieComoT,salvador nica persona abrumado versiones nadiecomot,negativo,0,0,1,0,0,1,0,0,2
@diegoreyesvqz,Denme un helado o algo que ando full abrumado.,"Jan 5, 2024 · 8:38 PM UTC",overwhelmed,scared,Denme un helado o algo que ando full abrumado,denme helado ando full abrumado,negativo,0,0,0,0,1,0,0,0,1
@Alfred_Cripto,"Estoy abrumado de airdrops , de youtube y de todo. Es imposible gestionarlo todo , todo se mueve muy rápido. O determino un plan o me quemo","Jan 5, 2024 · 7:07 PM UTC",overwhelmed,scared,Estoy abrumado de airdrops  de youtube y de todo Es imposible gestionarlo todo  todo se mueve muy rpido O determino un plan o me quemo,abrumado airdrop youtube imposible gestionarlo mueve rpido determino plan quemo,negativo,0,0,1,0,0,1,0,0,0
@DePacotilla,"#MicroCuento: A veces, sin motivo aparente, o, más bien, por razones quizás fútiles, se le venían encima unas nostalgias inmensas, que lo dejaban paralizado y abrumado... ¿Serían los ""Heraldos Negros"" de los que hablaba Vallejo?...","Jan 5, 2024 · 4:39 PM UTC",overwhelmed,scared,MicroCuento A veces sin motivo aparente o ms bien por razones quizs ftiles se le venan encima unas nostalgias inmensas que lo dejaban paralizado y abrumado Seran los Heraldos Negros de los que hablaba Vallejo,microcuento veces motivo aparente bien razones quiz ftiles venan encima unas nostalgia inmensas dejaban paralizado abrumado seran heraldos negro hablaba vallejo,negativo,0,0,1,0,0,1,0,0,3
@messagewvmxn,"Oh, las vacaciones. Tesoros inciertos, venideros y preciados para cualquier trabajador abrumado por la sobreexplotación. Un sueño fugaz en el que el dinero parecía no importar, a cambio de un breve respiro de placer, diversión y alivio.  Su tesoro perdido, ahora convertido","Jan 5, 2024 · 6:19 AM UTC",overwhelmed,scared,Oh las vacaciones Tesoros inciertos venideros y preciados para cualquier trabajador abrumado por la sobreexplotacin Un sueo fugaz en el que el dinero pareca no importar a cambio de un breve respiro de placer diversin y alivio  Su tesoro perdido ahora convertido,vacaciones tesoros inciertos venideros preciados cualquier trabajador abrumado sobreexplotacin sueo fugaz dinero pareca importar cambio breve respiro placer diversin alivio tesoro perdido ahora convertido,negativo,0,0,2,0,0,2,0,0,3
@my25thour,me siento muy abrumado,"Jan 5, 2024 · 5:30 AM UTC",overwhelmed,scared,me siento muy abrumado,siento abrumado,negativo,0,0,1,0,0,1,0,0,2
@JorgeD1428,"Consejo  que nadie pidió:  Si un día te sientes abrumado, triste, enojado, ansioso…   Cierra tus ojos, y piérdete en tu respiración","Jan 5, 2024 · 4:57 AM UTC",overwhelmed,scared,Consejo  que nadie pidi  Si un da te sientes abrumado triste enojado ansioso   Cierra tus ojos y pirdete en tu respiracin,consejo nadie pidi sientes abrumado triste enojado ansioso cierra ojos pirdete respiracin,negativo,0,0,0,0,0,0,0,1,0
@marceccg,"Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  🥳","Jan 6, 2024 · 2:18 AM UTC",overwhelmed,scared,Y entonces aprendimos que si est desbordado y ni l se aguanta es por dos razones hambre o sueo Hoy result ser la segunda y ya hijo dormido a las  p m  ,entonces aprendimos desbordado aguanta razones hambre sueo result segunda hijo dormido,negativo,0,0,0,1,0,0,1,0,0
@_VicMartino,NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.,"Jan 5, 2024 · 9:22 PM UTC",overwhelmed,scared,NADA se va a solucionar sin una ley anti fake news El manejo de la informacin est absolutamente desbordado,solucionar anti fake news manejo informacin absolutamente desbordado,negativo,0,0,0,0,0,0,0,0,1
@GinoMonty,"Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.","Jan 5, 2024 · 9:13 PM UTC",overwhelmed,scared,Yo lo que veo en este presidente es un ego desbordado un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais,presidente desbordado aire superioridad bastantante indolencia tragedia vive pais,negativo,0,0,0,0,0,0,0,0,1
@Elfabripa2,estoy desbordado,"Jan 5, 2024 · 8:33 PM UTC",overwhelmed,scared,estoy desbordado,desbordado,negativo,0,0,0,0,0,0,0,0,1
@thomymz,Dios estoy desbordado,"Jan 5, 2024 · 8:27 PM UTC",overwhelmed,scared,Dios estoy desbordado,dios desbordado,negativo,0,0,1,0,0,0,0,1,1
@JoniToujan10,Desbordado de felicidad y de ansiedad🥹🫶🏽,"Jan 5, 2024 · 8:24 PM UTC",overwhelmed,scared,Desbordado de felicidad y de ansiedad,desbordado felicidad ansiedad,negativo,0,0,0,0,0,0,0,0,1
@brachn,"Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias","Jan 5, 2024 · 7:25 PM UTC",overwhelmed,scared,Termino de lavar la lozatomo un vaso de agua y ya esta desbordado de platos y ollas sucias,termino lavar lozatomo vaso agua desbordado plato olla sucias,negativo,0,0,0,0,0,0,0,0,1
@hpititiminisky,Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora:  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion,"Jan 5, 2024 · 6:41 PM UTC",overwhelmed,scared,Las consecuencias de lo que se viene haciendo desde  hasta ahora  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion,consecuencias viene haciendo ahora default justicia hiperinflacion infraestructura destruida endeudamiento gasto publico desbordado carga tributaria confiscatoria regulaciones violan constitucion,negativo,0,0,1,0,0,1,0,0,2
@CryptoB57982,"""Simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-","Jan 5, 2024 · 6:36 PM UTC",overwhelmed,scared,Simplemente obstru un poco mi inodoro y comenz desbordado y tuve un ataque de pnico as que us el mbolo que fue tan jodidamente tonto porque luego comenz a desbordarse an ms y luego comenc temblando y fue a poner toallas alrededor del fondo de el bao lo cual me hace,simplemente obstru inodoro comenz desbordado ataque pnico mbolo jodidamente tonto luego comenz desbordarse luego comenc temblando poner toallas alrededor fondo hace,negativo,0,0,1,0,0,1,1,0,3
@rufianmelancoli,Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados.  Ya mejor le cambio a canciones de Celine Dion.,"Jan 5, 2024 · 6:31 PM UTC",overwhelmed,scared,Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados  Ya mejor le cambio a canciones de Celine Dion,pone jazz quesque relajarte sonidero desbordado lados mejor cambio canciones celine dion,negativo,0,0,2,0,0,1,0,0,2
@Juanmamlardon,"Como ha dicho él mismo es importante ver cómo se levanta mañana. El músculo debe estar muy sobrecargado tras casi 4 horas pero si no nota mucho más es posible que no haya rotura ni desgarro, porque eso se debe notar (o no)... En 10 días empieza Australia #BrisbaneTennis","Jan 5, 2024 · 2:58 PM UTC",overwhelmed,scared,Como ha dicho l mismo es importante ver cmo se levanta maana El msculo debe estar muy sobrecargado tras casi  horas pero si no nota mucho ms es posible que no haya rotura ni desgarro porque eso se debe notar o no En  das empieza Australia BrisbaneTennis,dicho mismo importante levanta maana msculo debe sobrecargado tras casi horas nota posible rotura desgarro debe notar empieza australia brisbanetennis,negativo,0,0,3,0,0,1,0,1,2
